dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002101,0.000000,0.002201,0.088060,1.761200,35.223997,0.000000
0.050000,0.010907,0.000000,0.011007,0.264180,3.522400,35.223997,0.000000
0.050000,0.028519,0.000000,0.028619,0.440300,3.522400,0.000000,0.000000
0.050000,0.054937,0.000000,0.055037,0.616420,3.522400,0.000000,0.000000
0.050000,0.090161,0.000000,0.090261,0.792540,3.522400,-0.000000,0.000000
0.050000,0.134191,0.000000,0.134291,0.968660,3.522400,0.000000,0.000000
0.050000,0.187027,0.000000,0.187127,1.144780,3.522400,0.000000,0.000000
0.050000,0.248669,0.000000,0.248769,1.320900,3.522400,0.000000,0.000000
0.050000,0.319117,0.000000,0.319217,1.497020,3.522400,-0.000000,0.000000
0.050000,0.398371,0.000000,0.398471,1.673140,3.522400,0.000000,0.000000
0.050000,0.486431,0.000000,0.486531,1.849260,3.522400,0.000000,0.000000
0.050000,0.583297,0.000000,0.583397,2.025380,3.522400,0.000000,0.000000
0.050000,0.688969,0.000000,0.689069,2.201500,3.522400,-0.000000,0.000000
0.050000,0.803447,0.000000,0.803547,2.377620,3.522400,0.000000,0.000000
0.050000,0.926731,0.000000,0.926831,2.553740,3.522400,0.000000,0.000000
0.050000,1.058821,0.000000,1.058921,2.729860,3.522400,-0.000000,0.000000
0.050000,1.199717,0.000000,1.199817,2.905980,3.522400,0.000000,0.000000
0.050000,1.349419,0.000000,1.349519,3.082100,3.522400,-0.000000,0.000000
0.050000,1.507927,0.000000,1.508027,3.258220,3.522400,0.000000,0.000000
0.050000,1.675241,0.000000,1.675341,3.434340,3.522400,-0.000000,0.000000
0.050000,1.851361,0.000000,1.851461,3.610460,3.522400,0.000000,0.000000
0.050000,2.036287,0.000000,2.036387,3.786580,3.522400,0.000000,0.000000
0.050000,2.230019,0.000000,2.230119,3.962700,3.522400,-0.000000,0.000000
0.050000,2.432557,0.000000,2.432657,4.138820,3.522400,0.000000,0.000000
0.050000,2.643901,0.000000,2.644001,4.314940,3.522400,0.000000,0.000000
0.050000,2.864051,0.000000,2.864151,4.491060,3.522400,-0.000000,0.000000
0.050000,3.093007,0.000000,3.093107,4.667180,3.522400,0.000000,0.000000
0.050000,3.330769,0.000000,3.330869,4.843300,3.522400,-0.000000,0.000000
0.050000,3.577337,0.000000,3.577437,5.019420,3.522400,0.000000,0.000000
0.050000,3.830510,0.000000,3.830610,5.107480,1.761200,-35.223997,0.000000
0.050000,4.085884,0.000000,4.085984,5.107480,0.000000,-35.223997,0.000000
